question,type_question
"Легко знакомлюсь с людьми",Ч
"Охотно и подолгу могу что-нибудь мастерить",Т
"Люблю ходить в музеи, театры, на выставки",Х
"Охотно и постоянно ухаживаю за растениями, животными",П
"Охотно и подолгу могу что-нибудь вычислять, чертить",З
"С удовольствием общаюсь со сверстниками или малышами",Ч
"С удовольствием ухаживаю за растениями и животными",П
"Обычно делаю мало ошибок в письменных работах",З
"Мои изделия обычно вызывают интерес у товарищей, старших",ТТ
"Люди считают, что у меня есть художественные способности",ХХ
"Охотно читаю о растениях, животных",П
"Принимаю участие в спектаклях, концертах",Х
"Люблю читать об устройстве механизмов, приборов, машин",Т
"Подолгу могу разгадывать головоломки, задачи, ребусы",ЗЗ
"Легко улаживаю разногласия между людьми",ЧЧ
"Считают, что у меня есть способности к работе с техникой",ТТ
"Людям нравится мое художественное творчество",ХХ
"У меня есть способности к работе с растениями и животными",ПП
"Я могу ясно излагать свои мысли в письменной форме",ЗЗ
"Я почти никогда ни с кем не ссорюсь",Ч
"Результаты моего технического творчества одобряют даже незнакомые люди",Т
"Без особого труда усваиваю иностранные языки",З
"Мне часто случается помогать даже незнакомым людям",ЧЧ
"Подолгу могу заниматься музыкой, рисованием, читать книги и т. д.",Х
"Могу влиять на ход развития растений и животных",ПП
"Люблю разбираться в устройстве механизмов, приборов",Т
"Мне обычно удается убедить людей в своей правоте",Ч
"Охотно наблюдаю за растениями или животными",П
"Охотно читаю научно-популярную, критическую литературу, публицистику",З
"Стараюсь понять секреты мастерства и пробую свои силы в живописи,музыке и т. п.",Х
